timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1550.210096,-0.125000,0.528320,9.895508,-0.717285,0.682617,0.096191
1550.219416,0.152344,0.756836,9.646484,-0.638672,0.516357,0.087402
1550.228737,-0.124023,0.364258,9.747070,-0.796143,0.726318,0.113525
1550.238057,0.028320,0.373047,9.845703,-0.708740,0.822510,0.078613
1550.247378,-0.034180,0.544922,9.976562,-0.559814,0.997559,0.104980
1550.256698,0.023438,0.778320,9.918945,-0.629883,1.120117,0.078613
1550.266019,-0.028320,0.320312,9.816406,-0.813721,1.338867,0.174805
1550.275339,0.087891,0.331055,9.736328,-0.603516,1.400146,0.043701
1550.284659,-0.114258,0.458008,9.839844,-0.411133,1.618896,0.131104
1550.293980,-0.033203,0.441406,9.797852,-0.323730,1.715088,0.034912
1550.303300,-0.058594,0.280273,9.922852,-0.183594,1.732666,0.078613
1550.312621,-0.056641,0.543945,9.796875,0.087646,1.758789,0.069824
1550.321941,-0.064453,0.650391,9.939453,0.096436,1.732666,0.034912
1550.331261,-0.165039,0.368164,9.852539,-0.174805,1.715088,0.052490
1550.340582,0.124023,0.475586,9.605469,-0.201172,1.610107,0.166016
1550.349902,-0.102539,0.396484,9.541016,-0.209961,1.697510,0.166016
1550.359223,-0.060547,0.448242,9.642578,-0.034912,1.627686,0.000000
1550.368543,-0.048828,0.264648,9.478516,0.148926,1.548828,0.113525
1550.377864,-0.051758,0.342773,9.532227,0.323975,1.566406,0.131104
1550.387184,-0.081055,0.437500,9.646484,0.376465,1.505127,0.087402
1550.396504,-0.113281,0.337891,9.697266,0.376465,1.435059,0.174805
1550.405825,-0.048828,0.482422,9.702148,0.525146,1.408936,0.096191
1550.415145,-0.159180,0.455078,9.620117,0.595215,1.330078,0.052490
1550.424466,0.035156,0.421875,9.609375,0.682617,1.312500,0.000000
1550.433786,0.013672,0.399414,9.266602,0.551270,1.225098,0.122314
1550.443107,-0.420898,0.478516,9.976562,0.455078,1.417725,0.139893
1550.452427,0.167969,0.847656,9.688477,0.227539,1.067627,-0.113770
1550.461747,-0.310547,0.638672,10.078125,-0.262451,1.172607,0.052490
1550.471068,0.023438,0.607422,9.685547,-0.498535,0.875000,0.104980
1550.480388,-0.186523,0.492188,9.879883,-0.612305,0.953857,0.087402
1550.489709,-0.199219,0.545898,9.937500,-0.516113,0.831299,0.034912
1550.499029,0.002930,0.443359,9.774414,-0.489990,0.603760,0.061035
1550.508350,-0.176758,0.528320,10.007812,-0.323730,0.647705,0.008545
1550.517670,-0.091797,0.369141,9.999023,-0.139893,0.525146,0.087402
1550.526990,-0.166992,0.574219,9.874023,0.122559,0.455078,0.061035
1550.536311,-0.034180,0.505859,9.902344,0.078857,0.332520,0.078613
1550.545631,-0.070312,0.572266,9.778320,0.078857,0.315186,0.148682
1550.554952,-0.042969,0.482422,9.754883,0.061279,0.288818,0.104980
1550.564272,-0.225586,0.415039,9.778320,0.166260,0.236328,0.078613
1550.573592,0.068359,0.597656,9.733398,0.288818,0.122559,0.174805
1550.582913,-0.095703,0.392578,9.775391,0.236328,0.087646,0.139893
1550.592233,-0.124023,0.479492,9.514648,0.288818,-0.096191,0.096191
1550.601554,-0.056641,0.571289,9.856445,0.262695,0.035156,0.183594
1550.610874,-0.021484,0.565430,9.806641,0.078857,0.000000,0.174805
1550.620195,-0.133789,0.354492,10.001953,-0.034912,-0.069824,0.183594
1550.629515,-0.027344,0.680664,9.775391,0.026367,-0.148682,0.209961
1550.638835,-0.109375,0.570312,10.113281,-0.209961,-0.078613,0.192383
1550.648156,-0.224609,0.529297,10.113281,-0.367432,-0.201172,0.078613
1550.657476,0.051758,0.747070,9.989258,-0.428711,-0.297363,0.131104
1550.666797,-0.044922,0.873047,10.029297,-0.909912,-0.288574,0.174805
1550.676117,-0.415039,0.623047,10.333008,-1.487305,-0.174805,0.209961
1550.685438,-0.017578,0.794922,10.221680,-1.513672,-0.454834,0.271240
1550.694758,-0.235352,0.736328,10.635742,-1.592285,-0.349854,0.166016
1550.704078,-0.029297,0.507812,10.462891,-1.723633,-0.778564,0.043701
1550.713399,-0.147461,0.413086,10.307617,-1.478516,-0.839844,0.157471
1550.722719,-0.045898,0.374023,10.052734,-0.997314,-0.848633,0.192383
