timestamp_s,roll,pitch,yaw
365.699808,-1.055220,2.897250,273.414850
365.899808,-1.336570,3.506720,275.719670
366.099808,-0.520430,4.117950,278.066270
366.299808,-0.186640,4.297230,280.435020
366.499808,-0.562000,4.322130,282.749220
366.699808,-0.454180,3.820450,284.986160
366.899808,0.263840,3.671370,287.370250
367.099808,0.521690,2.860240,289.611700
367.299808,-0.300300,2.989900,291.802680
367.499807,0.218840,3.299620,294.077280
367.699807,-0.145070,3.685010,296.472860
367.899807,0.614840,4.093410,298.925580
368.099807,0.847920,4.586940,301.561040
368.299807,0.519440,4.838640,304.237840
368.499807,0.426080,4.438670,306.808530
368.699807,0.936360,4.310270,309.346720
368.899807,1.153910,4.010740,311.447140
369.099807,1.297600,3.815630,313.065460
369.299806,1.435660,3.481620,314.313260
369.499806,1.453760,3.033750,315.408580
369.699806,1.201080,2.585610,316.452470
369.899806,0.351520,1.943380,317.526240
370.099806,-0.282850,1.069840,318.442940
370.299806,-1.534400,0.291440,319.416540
370.499806,-0.321030,1.023080,320.759750
370.699806,0.016210,1.837580,322.011860
370.899806,-0.394070,3.094160,323.278930
371.099806,-0.274470,3.241580,324.648730
371.299805,0.424030,2.578470,326.426750
371.499805,1.226120,2.476820,328.479460
371.699805,1.161070,2.100340,330.739410
371.899805,0.721820,2.080900,333.772800
372.099805,0.855270,1.522060,337.148280
372.299805,0.864230,1.452740,340.919280
372.499805,0.507070,1.440300,344.778420
372.699805,0.867080,1.313860,348.762450
372.899805,0.647140,1.225810,352.722360
373.099805,0.704710,1.263420,356.909030
373.299804,0.943390,1.425960,1.051020
373.499804,1.194900,1.323070,5.103050
373.699804,1.505970,1.232140,8.743980
373.899804,1.670810,1.199870,11.545090
374.099804,1.789590,1.136640,13.328890
374.299804,1.787130,1.334550,14.581360
374.499804,1.709000,1.411530,15.541970
374.699804,1.908240,1.243870,16.161900
374.899804,1.674910,1.069040,16.260710
375.099803,1.639800,1.080000,16.080300
375.299803,1.695160,1.169510,15.712720
375.499803,1.766500,1.125640,15.150130
375.699803,1.887550,1.069560,14.304540
375.899803,1.988780,1.275460,13.116040
376.099803,2.008000,1.235930,11.638690
376.299803,1.984960,1.197050,9.781680
376.499803,2.026650,1.216710,7.612470
376.699803,1.821660,1.223170,5.370930
376.899803,1.865040,1.007060,3.118450
377.099802,1.994870,0.862470,0.790890
377.299802,1.950800,0.785370,358.159420
377.499802,1.972520,0.755900,355.301130
377.699802,2.038690,0.751910,352.253600
377.899802,2.130140,0.718120,349.030340
378.099802,2.028690,0.669770,345.753760
378.299802,2.116960,0.489750,342.516460
378.499802,2.231830,0.293070,339.232130
378.699802,1.875500,0.356950,335.981060
378.899802,1.892210,0.429800,332.858600
379.099801,1.873870,0.526000,329.923930
379.299801,1.593290,0.392610,327.117970
379.499801,1.599740,0.357060,324.572150
379.699801,1.590290,0.306030,322.175630
379.899801,1.610970,0.380070,319.984660
380.099801,1.613560,0.591690,318.047460
380.299801,1.593550,0.847240,316.488390
380.499801,1.633850,0.973360,315.239450
380.699801,1.685230,1.038810,314.142610
380.899800,1.658160,0.933420,313.120960
381.099800,1.739680,1.070760,312.226970
381.299800,1.739950,1.001340,311.425240
381.499800,1.569350,0.994360,310.826450
381.699800,1.628320,0.982160,310.378170
381.899800,1.648800,1.145980,309.913670
382.099800,1.528180,1.299120,309.449590
382.299800,1.481320,1.265040,308.997370
382.499800,1.305530,1.232080,308.512700
382.699800,1.191320,1.144260,308.169020
382.899799,1.218840,1.250950,308.015680
383.099799,1.242640,1.348030,307.899950
383.299799,1.178670,1.601000,307.952110
383.499799,1.184800,1.753730,308.010510
383.699799,1.245040,1.725390,308.071770
383.899799,1.202320,1.651460,308.033480
384.099799,1.259930,1.461750,307.763970
384.299799,1.247600,1.332510,307.105170
384.499799,1.186970,1.192310,306.121550
384.699798,1.282770,1.084340,304.751410
384.899798,1.420700,0.975780,302.762710
385.099798,1.517750,0.863800,300.171930
385.299798,1.480810,0.824710,297.061620
385.499798,1.486130,0.755030,293.664980
385.699798,1.505140,0.649660,289.894740
385.899798,1.334610,0.528240,286.060160
386.099798,1.082400,0.457760,282.449690
386.299798,1.093340,0.602390,278.912980
386.499798,1.334000,0.731650,275.395900
386.699797,1.238250,0.926000,272.060320
386.899797,0.846450,1.041500,269.126540
387.099797,0.633750,1.008280,266.952870
387.299797,0.874280,1.119470,265.438500
387.499797,0.938620,1.053980,264.406800
387.699797,0.658930,1.056310,263.790770
387.899797,0.486180,1.073880,263.391110
388.099797,0.606180,1.149700,262.877950
388.299797,1.049830,1.347620,261.810530
388.499797,1.012560,1.395140,260.015410
388.699796,0.988030,1.474090,257.386240
388.899796,1.032450,1.531440,254.120760
389.099796,1.053590,1.556910,250.408840
389.299796,0.968660,1.513700,246.367680
389.499796,0.734250,1.465500,242.276120
389.699796,0.767720,1.460410,237.919960
389.899796,0.640940,1.394580,233.251030
390.099796,0.401990,1.231000,228.510480
390.299796,0.147520,0.990350,223.785430
390.499795,-0.036460,0.672480,219.259290
390.699795,-0.153720,0.375290,215.034450
390.899795,-0.332610,0.049090,211.067000
391.099795,-0.457080,-0.228000,207.318690
391.299795,-0.489200,-0.569330,203.788220
391.499795,-0.494840,-0.684650,200.646360
391.699795,0.046620,-0.480770,197.963730
391.899795,-0.068550,-0.425350,195.629800
392.099795,-0.072520,-0.383340,193.718440
392.299795,0.423710,-0.579980,192.168370
392.499794,0.382190,-0.545500,190.775330
392.699794,0.333330,-0.371720,189.558120
392.899794,0.545880,-0.395320,188.421320
393.099794,0.597530,-0.583780,187.377350
393.299794,0.431680,-0.784810,186.532360
393.499794,0.572330,-0.752590,185.798160
393.699794,0.565170,-0.687160,185.443040
393.899794,0.404070,-0.612260,185.761790
394.099794,0.039410,-0.540010,186.784910
394.299794,0.065240,-0.540960,188.612620
394.499793,0.083140,-0.578290,191.016600
394.699793,0.072720,-0.635010,194.048740
394.899793,-0.241180,-0.726400,197.654850
395.099793,-0.334670,-0.641260,201.892980
395.299793,-0.428460,-0.631550,206.696680
395.499793,-0.265450,-0.576360,212.041920
395.699793,-0.469240,-0.403300,217.817020
395.899793,-0.346830,-0.384850,223.773280
396.099793,-0.435520,-0.218240,230.072890
396.299792,-0.212900,-0.128110,236.684910
396.499792,-0.378150,0.045470,243.298060
396.699792,-0.115900,0.028780,249.789420
396.899792,-0.253250,0.092170,256.269860
397.099792,-0.187700,-0.082040,262.581370
397.299792,-0.049290,0.068220,268.987290
397.499792,-0.279720,0.133920,275.547020
397.699792,-0.293460,0.265360,282.312840
397.899792,0.298570,0.002850,289.241100
398.099792,-0.232280,-0.011870,296.388390
398.299791,-0.250650,0.080030,303.529460
398.499791,-0.227240,0.179470,310.711400
398.699791,-0.271990,0.359040,317.834720
398.899791,-0.513620,0.759410,325.004610
399.099791,-0.026000,1.018440,332.054290
399.299791,0.003870,0.969200,339.286800
399.499791,0.005300,0.955970,346.276540
399.699791,0.304020,0.769250,353.261010
399.899791,0.310590,0.678320,0.230610
400.099791,0.293900,0.646080,7.195560
400.299790,0.375180,0.502140,14.262650
400.499790,0.259910,0.329580,21.320990
400.699790,0.330160,0.285880,28.435340
400.899790,0.335480,0.161320,35.614810
401.099790,0.449270,0.071310,42.751700
401.299790,0.490280,-0.021350,49.837470
401.499790,0.500820,-0.117760,56.846020
401.699790,0.859240,-0.226920,63.582180
401.899790,1.051600,-0.408340,69.629930
402.099789,1.249440,-0.632800,74.927350
402.299789,1.566200,-0.641530,79.388610
402.499789,1.340400,-0.774470,83.062750
402.699789,1.588440,-0.982930,86.227070
402.899789,1.638740,-0.948060,88.672150
403.099789,1.520400,-0.979340,90.516930
403.299789,1.392940,-1.061840,91.765890
403.499789,1.685620,-0.939700,92.504330
403.699789,1.836730,-0.873090,92.756240
403.899789,1.541690,-1.003160,92.591600
404.099788,1.610270,-0.950130,92.052700
404.299788,1.952020,-1.001750,90.868710
404.499788,2.187360,-1.079150,89.009220
404.699788,1.833360,-1.086630,86.920910
404.899788,2.054250,-1.007160,84.564030
405.099788,2.283580,-0.912510,81.530100
405.299788,2.370890,-0.966730,77.978450
405.499788,2.618130,-0.990100,73.869790
405.699788,2.581930,-0.911630,69.049590
405.899788,2.754940,-0.994250,63.839270
406.099787,2.725330,-1.035070,58.167580
